# BASELINE Tier A codigoamigo — 2026-07-17 (GSC 28d prev al cambio de contenido)
# Contenido descripcion_larga+seo_tips añadido 2026-07-17. Medir de nuevo ~2026-08-14.

marca                    clicks    impr    pos
honestgreenrestaurant        16     712   11.1
yego                         10     452   16.0
pagostore                    10     355   10.2
plenitude                     2     217   10.6
cleverea                     15     203    9.9
bunqbanco                     0     187   10.9
elevenfit                    11     183    9.1
weward                        0     175   12.3
meru                          5     120    9.9
fintonic                      2      61   12.0
amovens                       4     111   12.4
promosapp                     8      72   10.6
sotysolar                     0      61   10.1
xceed                        10      55   12.9
wesmartpark                   5      60   15.5
bird                          1      57   10.8
momoven                       1      62   11.9
